0	3600	113	317
1	2944	358	175
2	2559	299	144
3	2447	220	153
4	2635	349	163
5	2535	242	147
6	2807	406	161
7	2547	285	150
8	2763	491	150
9	2653	381	149
10	2875	597	148
11	2773	492	148
12	3011	750	149
13	2743	542	145
14	3014	763	150
15	2829	532	150
16	3133	860	149
17	2966	687	146
18	3070	800	152
19	2932	628	144
20	3054	758	149
21	2785	489	151
22	3034	755	147
23	2937	651	151
24	3363	1069	149
25	2985	704	149
26	3218	935	149
27	2823	532	149
28	3208	931	147
29	3048	740	147
30	3228	924	150
31	2923	624	149
32	3481	1215	148
33	3015	713	149
34	3275	987	149
35	2996	737	150
36	3534	1254	146
37	3033	762	147
38	3545	1265	147
39	3008	722	145
40	3709	1433	148
41	3179	888	148
42	3593	1250	147
43	3040	756	152
44	3690	1406	149
45	3140	848	149
46	3537	1250	148
47	3173	904	148
48	3746	1471	151
49	3271	1000	149
50	3597	1329	149
51	3232	939	148
52	3914	1604	149
53	3265	966	150
54	3630	1359	150
55	3213	906	149
56	3878	1603	148
57	3280	995	149
58	3761	1492	146
59	3319	1040	146
60	4062	1782	151
61	3325	1045	151
62	4041	1537	150
63	3232	958	146
64	4370	2099	149
65	3303	1025	152
66	13639	1696	148
67	3355	1074	149
68	4250	1954	149
69	3489	1205	148
70	4000	1744	149
71	3313	1040	151
72	4484	2202	144
73	3489	1208	150
74	3847	1559	148
75	3389	1092	147
76	5848	2760	238
77	4613	2261	148
78	4564	2231	145
79	4408	2079	152
80	5185	2915	147
81	4864	2575	151
82	4890	2615	149
83	4296	2023	150
84	4747	2477	149
85	4445	2173	149
86	4648	2370	146
87	4349	2042	148
88	4985	2717	146
89	4764	2449	151
90	4702	2387	150
91	4435	2157	149
92	4696	2423	148
93	4505	2215	148
94	4752	2465	149
95	4470	2239	149
96	5408	3088	150
97	4954	2678	148
98	5112	2833	146
99	4853	2564	148
100	5515	3246	145
101	4309	2033	151
102	4676	2371	148
103	4665	2399	148
104	5380	3077	150
105	5133	2875	148
106	5258	2997	152
107	5060	2776	147
108	5408	3127	149
109	5079	2802	149
110	4935	2666	149
111	4664	2375	149
112	5708	3424	145
113	5256	2982	152
114	5319	3058	149
115	4518	2244	152
116	5666	3393	151
117	5365	3093	149
118	5371	3093	149
119	4995	2743	149
120	5757	3500	149
121	5487	3167	147
122	5361	3083	151
123	5092	2704	152
124	5598	3272	148
125	4586	2260	149
126	5252	2917	150
127	4368	2091	147
128	6467	4072	149
129	4865	2575	151
130	5392	3112	149
131	4153	1879	146
132	5651	3378	150
133	4565	2200	149
134	5147	2761	149
135	4468	2207	149
136	6033	3751	145
137	5650	2894	243
138	5513	3166	148
139	7575	4337	380
140	6986	4218	187
141	5218	2801	148
142	6442	4018	149
143	5868	3477	150
144	6813	4468	149
145	6525	4141	151
146	6307	3961	149
147	6094	3734	147
148	6635	4292	148
149	6584	4227	149
150	6334	3967	149
